rule,rule_label,variable_code,variable,total_rows,valid_rows_before_outlier_rule,missing_or_invalid_rows,kept_rows,removed_by_outlier_rule,removed_pct_of_valid,kept_pct_of_valid
target_abs_le_1000,target abs<=1000,220210,Respiratory Rate,102569,101084,1485,101083,1,0.000989276245498793,99.9990107237545
target_abs_le_1000,target abs<=1000,220277,SpO2,102569,99599,2970,99598,1,0.0010040261448408117,99.99899597385516
target_abs_le_1000,target abs<=1000,220635,Magnesium,102569,6929,95640,6929,0,0.0,100.0
target_and_pred_abs_le_1000,target+pred abs<=1000,220210,Respiratory Rate,102569,101084,1485,101083,1,0.000989276245498793,99.9990107237545
target_and_pred_abs_le_1000,target+pred abs<=1000,220277,SpO2,102569,99599,2970,99598,1,0.0010040261448408117,99.99899597385516
target_and_pred_abs_le_1000,target+pred abs<=1000,220635,Magnesium,102569,6929,95640,6929,0,0.0,100.0
target_iqr3,target IQR3,220210,Respiratory Rate,102569,101084,1485,100970,114,0.1127774919868624,99.88722250801314
target_iqr3,target IQR3,220277,SpO2,102569,99599,2970,99307,292,0.293175634293517,99.70682436570648
target_iqr3,target IQR3,220635,Magnesium,102569,6929,95640,6890,39,0.5628517823639775,99.43714821763602
target_and_pred_iqr3,target+pred IQR3,220210,Respiratory Rate,102569,101084,1485,100433,651,0.6440188358197143,99.35598116418029
target_and_pred_iqr3,target+pred IQR3,220277,SpO2,102569,99599,2970,99195,404,0.4056265625156879,99.59437343748431
target_and_pred_iqr3,target+pred IQR3,220635,Magnesium,102569,6929,95640,6783,146,2.1070861596189925,97.89291384038101
target_p0.1_99.9,target p0.1-99.9,220210,Respiratory Rate,102569,101084,1485,100938,146,0.14443433184282378,99.85556566815718
target_p0.1_99.9,target p0.1-99.9,220277,SpO2,102569,99599,2970,99499,100,0.10040261448408117,99.89959738551592
target_p0.1_99.9,target p0.1-99.9,220635,Magnesium,102569,6929,95640,6915,14,0.20204935777168423,99.79795064222832
target_and_pred_p0.1_99.9,target+pred p0.1-99.9,220210,Respiratory Rate,102569,101084,1485,100742,342,0.33833247596058724,99.66166752403942
target_and_pred_p0.1_99.9,target+pred p0.1-99.9,220277,SpO2,102569,99599,2970,99437,162,0.16265223546421148,99.83734776453579
target_and_pred_p0.1_99.9,target+pred p0.1-99.9,220635,Magnesium,102569,6929,95640,6904,25,0.3608024245922933,99.6391975754077
target_p1_99,target p1-99,220210,Respiratory Rate,102569,101084,1485,99223,1861,1.841043092873254,98.15895690712675
target_p1_99,target p1-99,220277,SpO2,102569,99599,2970,98742,857,0.8604504061285756,99.13954959387142
target_p1_99,target p1-99,220635,Magnesium,102569,6929,95640,6806,123,1.7751479289940828,98.22485207100591
target_and_pred_p1_99,target+pred p1-99,220210,Respiratory Rate,102569,101084,1485,97553,3531,3.4931344228562384,96.50686557714376
target_and_pred_p1_99,target+pred p1-99,220277,SpO2,102569,99599,2970,97113,2486,2.496008996074258,97.50399100392575
target_and_pred_p1_99,target+pred p1-99,220635,Magnesium,102569,6929,95640,6716,213,3.0740366575263387,96.92596334247366
