variable_code,variable,bound,low,high
220210,Respiratory Rate,target_iqr3,-4.52871376163387,4.602867129547949
220210,Respiratory Rate,pred_iqr3,-2.2675611699999996,2.2112633899999996
220210,Respiratory Rate,target_p001_999,-2.665125824657989,4.789225923245537
220210,Respiratory Rate,pred_p001_999,-1.5097013,2.714431
220210,Respiratory Rate,target_p01_99,-1.9196906498676365,2.9256379862696558
220210,Respiratory Rate,pred_p01_99,-1.2053152,1.9447695
220277,SpO2,target_iqr3,-4.452687534456583,4.660119746898792
220277,SpO2,pred_iqr3,-2.66267375,2.6531364
220277,SpO2,target_p001_999,-7.056346757700975,1.0800883149377514
220277,SpO2,pred_p001_999,-4.4788533408,1.080089
220277,SpO2,target_p01_99,-2.825400519928837,1.0800883149377514
220277,SpO2,pred_p01_99,-1.6754506,0.9716023
220635,Magnesium,target_iqr3,-3.3980746261048447,3.4873034900564988
220635,Magnesium,pred_iqr3,-1.88984745,1.83972875
220635,Magnesium,target_p001_999,-2.1862480776604487,6.562116631646891
220635,Magnesium,pred_p001_999,-1.1955736639999999,5.363733000000105
220635,Magnesium,target_p01_99,-1.4308237357730322,2.7495844061820702
220635,Magnesium,pred_p01_99,-0.82097626,2.234819800000006
