rule,variable_code,variable,rows,removed_rows,r2_step,smae,mae_scaled
none,220210,Respiratory Rate,101084,1485.0,4.7214918873828005e-05,0.9738785686603971,0.9738785686603971
none,220277,SpO2,99599,2970.0,0.002893683936537106,0.6124002144442358,0.6124002144442358
none,220635,Magnesium,6929,95640.0,0.38128860869806214,0.4518213903503505,0.4518213903503505
none,mean_unweighted,Unweighted mean,207612,,,0.6793667244849945,0.6793667244849945
none,mean_weighted,Weighted mean,207612,,,0.7830407712783298,0.7830407712783298
target_abs_le_1000,220210,Respiratory Rate,101083,1486.0,0.10377542069010715,0.6476481912180977,0.6476481912180977
target_abs_le_1000,220277,SpO2,99598,2971.0,0.286384399877626,0.5797254486085455,0.5797254486085455
target_abs_le_1000,220635,Magnesium,6929,95640.0,0.38128860869806214,0.4518213903503505,0.4518213903503505
target_abs_le_1000,mean_unweighted,Unweighted mean,207610,,,0.5597316767256646,0.5597316767256646
target_abs_le_1000,mean_weighted,Weighted mean,207610,,,0.6085274686053199,0.6085274686053199
target_and_pred_abs_le_1000,220210,Respiratory Rate,101083,1486.0,0.10377542069010715,0.6476481912180977,0.6476481912180977
target_and_pred_abs_le_1000,220277,SpO2,99598,2971.0,0.286384399877626,0.5797254486085455,0.5797254486085455
target_and_pred_abs_le_1000,220635,Magnesium,6929,95640.0,0.38128860869806214,0.4518213903503505,0.4518213903503505
target_and_pred_abs_le_1000,mean_unweighted,Unweighted mean,207610,,,0.5597316767256646,0.5597316767256646
target_and_pred_abs_le_1000,mean_weighted,Weighted mean,207610,,,0.6085274686053199,0.6085274686053199
target_iqr3,220210,Respiratory Rate,100970,1599.0,0.31215283163721064,0.6375382367519161,0.6375382367519161
target_iqr3,220277,SpO2,99307,3262.0,0.2852643203894083,0.5644959266616054,0.5644959266616054
target_iqr3,220635,Magnesium,6890,95679.0,0.4219657663157921,0.4356295504787044,0.4356295504787044
target_iqr3,mean_unweighted,Unweighted mean,207167,,,0.545887904630742,0.545887904630742
target_iqr3,mean_weighted,Weighted mean,207167,,,0.5958097590669522,0.5958097590669522
target_and_pred_iqr3,220210,Respiratory Rate,100433,2136.0,0.2951719539621638,0.6369218944205882,0.6369218944205882
target_and_pred_iqr3,220277,SpO2,99195,3374.0,0.2964026782208351,0.5626111775620122,0.5626111775620122
target_and_pred_iqr3,220635,Magnesium,6783,95786.0,0.357804128020648,0.432629705496016,0.432629705496016
target_and_pred_iqr3,mean_unweighted,Unweighted mean,206411,,,0.5440542591595389,0.5440542591595389
target_and_pred_iqr3,mean_weighted,Weighted mean,206411,,,0.5944969971221796,0.5944969971221796
target_p0.1_99.9,220210,Respiratory Rate,100938,1631.0,0.3126076353556346,0.6371581740935692,0.6371581740935692
target_p0.1_99.9,220277,SpO2,99499,3070.0,0.2811200216428632,0.5722507321244763,0.5722507321244763
target_p0.1_99.9,220635,Magnesium,6915,95654.0,0.4627575814390712,0.4400869875216867,0.4400869875216867
target_p0.1_99.9,mean_unweighted,Unweighted mean,207352,,,0.5498319645799107,0.5498319645799107
target_p0.1_99.9,mean_weighted,Weighted mean,207352,,,0.5994398360807824,0.5994398360807824
target_and_pred_p0.1_99.9,220210,Respiratory Rate,100742,1827.0,0.30582968339947814,0.6377268462525401,0.6377268462525401
target_and_pred_p0.1_99.9,220277,SpO2,99437,3132.0,0.28739145090866325,0.570807113380486,0.570807113380486
target_and_pred_p0.1_99.9,220635,Magnesium,6904,95665.0,0.44903593771609385,0.439663828994386,0.439663828994386
target_and_pred_p0.1_99.9,mean_unweighted,Unweighted mean,207083,,,0.549399262875804,0.549399262875804
target_and_pred_p0.1_99.9,mean_weighted,Weighted mean,207083,,,0.5989900858774792,0.5989900858774792
target_p1_99,220210,Respiratory Rate,99223,3346.0,0.29802735129799196,0.611588456191827,0.611588456191827
target_p1_99,220277,SpO2,98742,3827.0,0.27740723678677504,0.5525863081860991,0.5525863081860991
target_p1_99,220635,Magnesium,6806,95763.0,0.3970352600138365,0.424528824370818,0.424528824370818
target_p1_99,mean_unweighted,Unweighted mean,204771,,,0.529567862916248,0.529567862916248
target_p1_99,mean_weighted,Weighted mean,204771,,,0.5769198851902918,0.5769198851902918
target_and_pred_p1_99,220210,Respiratory Rate,97553,5016.0,0.27577483677116776,0.6119542986880094,0.6119542986880094
target_and_pred_p1_99,220277,SpO2,97113,5456.0,0.27599774407600663,0.5527148264530269,0.5527148264530269
target_and_pred_p1_99,220635,Magnesium,6716,95853.0,0.380097443864857,0.4233098338652018,0.4233098338652018
target_and_pred_p1_99,mean_unweighted,Unweighted mean,201382,,,0.529326319668746,0.529326319668746
target_and_pred_p1_99,mean_weighted,Weighted mean,201382,,,0.5770958749316368,0.5770958749316368
